text,author,likes,replyCount,cleaned_text
I rememeber Superbad being all the rage when it came out. Though nowadays people don't talk about it very much. I recently watched a clip of the movie and it looks stupid. This is one of those movies that people look back at now and think of how dumb it is. I'm sure I'm not the only one who thinks that but I'm entitled to my opinion.,@eltonyescas5425,2,1,i rememeber superbad being all the rage when it came out though nowadays people dont talk about it very much i recently watched a clip of the movie and it looks stupid this is one of those movies that people look back at now and think of how dumb it is im sure im not the only one who thinks that but im entitled to my opinion
Need sequel to this! It should be badass,@ManojKumar-wc9hv,0,0,need sequel to this it should be badass
Came here after finn wolfhard said its one of his fave movies lol,@sarahx204,0,0,came here after finn wolfhard said its one of his fave movies lol
what is the name of the song that plays at the end of this trailer,@joshdear1898,0,2,what is the name of the song that plays at the end of this trailer
Funniest and most awkward movie ive ever seen,@nagygreta5295,2,0,funniest and most awkward movie ive ever seen
Loji 8 7 9 maximum immunity safety security,@aurala4498,0,0,loji    maximum immunity safety security
Brief 6 7 loji 9 7 8 a l stat 7 8 brief hlkjlkhjlk a maximum immunity safety security,@aurala4498,0,0,brief   loji    a l stat   brief hlkjlkhjlk a maximum immunity safety security
The Legend fckinn McLovin🙌🏼,@DonWawa,2,0,the legend fckinn mclovinraising_handsmedium-light_skin_tone
Ladys and gentlemen two time oscar nominee mr jonah hill.,@Zecamilleo,0,0,ladys and gentlemen two time oscar nominee mr jonah hill
Bill Hader and Seth Rogen as cops need their own cop movie dude. They were hilarious in this movie.,@adithyamenon5207,4,0,bill hader and seth rogen as cops need their own cop movie dude they were hilarious in this movie
I watched this film for the first time 6 months ago and it made me feel nostalgic even though it was my first time watching it,@alexhamer8787,176,1,i watched this film for the first time  months ago and it made me feel nostalgic even though it was my first time watching it
I love Michael Cera so much,@sophiaatn5339,1,0,i love michael cera so much
"Some generations have Animal House, some have Dazed and Confused, some have American Pie. I got Supa baaaaad.",@wallywest2038,0,0,some generations have animal house some have dazed and confused some have american pie i got supa baaaaad
This screams the Mid 2000s-Early 2010s high school experience,@histomuzik,318,3,this screams the mid searly s high school experience
This is the end movie 2013 the same actors Jonah hill and Michael cera,@abdoualazizlouz7033,1,0,this is the end movie  the same actors jonah hill and michael cera
"Can't believe it will be 14 years since this movie came out, time flies!",@PositiveCitizen,60,0,cant believe it will be  years since this movie came out time flies
