text,author,likes,replyCount,cleaned_text
50k dead...really?? Shame on you,@SuatÖzcelik-l6l,1,0,k deadreally shame on you
Seriously??? What a joke.,@andrewcoongoro,1,0,seriously what a joke
He's so far gone,@Moahawkzolo,2,0,hes so far gone
"""And I will run these streets, like i run my casinosMore police and less Latinos""😂😂😂-EpicRapBattlesOfHistory",@SoManySideQuests,0,0,and i will run these streets like i run my casinosmore police and less latinosface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyepicrapbattlesofhistory
I enjoy the melody,@toadfox2216,0,0,i enjoy the melody
Real nu one-liked I'm student's trump of iran-,@issaebii,0,0,real nu oneliked im students trump of iran
"What. Is. This?This isn't going to make anyone feel better of what Gaza had been through. So many children have lost their families, alive or dead, and this is going to recover our pain?",@gtaipan7422,12,1,what is thisthis isnt going to make anyone feel better of what gaza had been through so many children have lost their families alive or dead and this is going to recover our pain
Never forget who voted for this,@Alexander-wq7qo,4,2,never forget who voted for this
Trump's dream that will never come true. Free Palestine,@khandkhan4776,1,0,trumps dream that will never come true free palestine
His last attempt at this was Atlantic City. We all saw how that turned out.,@kevinthomson6324,0,0,his last attempt at this was atlantic city we all saw how that turned out
"This will stay dreamYou never ever can take their land, if you want it you have to fight for it",@ahmedmousa7935,1,0,this will stay dreamyou never ever can take their land if you want it you have to fight for it
This is sick beyond what words could ever describe 😢,@faithrose4440,0,0,this is sick beyond what words could ever describe crying_face
This song is so awesome,@furryferret8514,0,0,this song is so awesome
I'm besotted with this piece of music. Really.,@FabyKennedy,1,0,im besotted with this piece of music really
Who made that for him,@mandakinimachiraju,2,2,who made that for him
I miss when the onion was stupider than real politics,@Imjustkendall,2,0,i miss when the onion was stupider than real politics
"""I dont wanna be cute""",@andrewkoestl,0,0,i dont wanna be cute
"got to admit, It's a catchy tune",@MrUranium238,5,0,got to admit its a catchy tune
Typical Donald Trump behaviour. Why is anybody surprised?,@notprovided1131,0,0,typical donald trump behaviour why is anybody surprised
Racist Trump envisions a Palestinian free Gaza.,@paulhart3812,2,0,racist trump envisions a palestinian free gaza
Hail the New World Order!!!👏👏👏,@D.M33,1,0,hail the new world orderclapping_handsclapping_handsclapping_hands
people are crying but the idea of rebuilding gaza into a paradise is lovely. stop being so hysterical over an AI video people.,@EpicBunty,0,0,people are crying but the idea of rebuilding gaza into a paradise is lovely stop being so hysterical over an ai video people
Orwell would be rolling over in his grace right now,@imthatjerry8973,0,0,orwell would be rolling over in his grace right now
"sorry gaza, i don't think we're going to help.",@CodyPease,1,0,sorry gaza i dont think were going to help
"finally, a glimpse of sanity",@gregh7457,0,0,finally a glimpse of sanity
Can any one defend this?? Repulsive,@TheCrispOne2025,3,0,can any one defend this repulsive
"I am Arab, this is so painful I am laughing so hard 😂😂😂",@SilentBlindDeaf,4,2,i am arab this is so painful i am laughing so hard face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
this is insanity beyond words,@alkazeicer9616,1,0,this is insanity beyond words
Imagine an Arab leader posting such thing about turning USA into their dream resort place 😂 like trump should stay in the USA and fix America first before heading over to the middle east.,@Sunflowersarepretty,1,0,imagine an arab leader posting such thing about turning usa into their dream resort place face_with_tears_of_joy like trump should stay in the usa and fix america first before heading over to the middle east
"Remember  shadrach,meshach and abednego",@Thewalkinchrist,1,0,remember  shadrachmeshach and abednego
The funniest thing is an anti Trump company in LA ... and it went viral not in the way they meant..😂😂😂 fail,@numbersdonlie,0,0,the funniest thing is an anti trump company in la  and it went viral not in the way they meantface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy fail
Get er done big Don,@AA-pq2ls,0,0,get er done big don
Disappointed Disturbing and Disgusting!!!!!!!!!?!,@teresasimmons4248,0,0,disappointed disturbing and disgusting
TRUMP GAZA IS FINALLY HERE!,@aus_huayra500_3,0,0,trump gaza is finally here
Yall are forgetting trump is the ONE. HE CAN DODGE BULLETS AND MAKE IT LOOK LIKE HE ALSMOT GOT SHOT!,@qazqazqazqaz100,1,0,yall are forgetting trump is the one he can dodge bullets and make it look like he alsmot got shot
Most commenter here WANT this to be real. That's his joke.,@Marblegate,0,0,most commenter here want this to be real thats his joke
Trump Gaza Number One....Io penso: Trump.....ummm copate....🤦🤦🤦,@flaviomasenadore2392,0,0,trump gaza number oneio penso trumpummm copateperson_facepalmingperson_facepalmingperson_facepalming
The Donald Trump statue will also speak 😂,@Andre-c8f,0,0,the donald trump statue will also speak face_with_tears_of_joy
Pray for the Palestinians please ❤❤❤,@jaydefranco329,1,1,pray for the palestinians please red_heartred_heartred_heart
