text,author,likes,replyCount
"I believe President Trump’s idea is the best! This man is incredible! I love you, Trump; you are a wise man!",@MoHakakian,1,0
"Trump's London, Berlin, Paris and so on will follow",@erdemkaya2735,1,0
This is like how cartoons portray politicians,@WeatherCat_TheCat,6,0
It's gonna happen been Prophecised Zephania Chapter 2.4,@childrenoflight3010,0,0
"ترامپ که عددی نیست تمام‌ قدرت  های کره خاکی هم دور هم اجماع کنن برای غصب غزه  قطعا شکست خواهند خورد غزه با پشتیبانی خالق آسمان ها حمایت میشع قدرتی که همه قدرت ها در برابرش قطره هم نمیشن (Trump is not a number If all the powers on earth came together to seize Gaza, they would definitely fail Gaza is supported by the Creator of the heavens A power that all powers would not yield a drop in front of",@Mohsen_islami,0,0
He's gone insane,@yassinecore,2,0
Fault the great!,@muhammadalitalukdar5839,1,0
Absolutely no care for human decency.,@usibistro,2,0
"“ No more tunnels, no more fear….Trump Gaza is finally here!!” I laughed so hard.",@bianconerointheus6692,5,0
world war 3 is near,@STRTYPS,1,0
A giant golden statue of Trumpf 🍊would not 🙅‍♂️ last 12 hours in Gaza….,@MidwesternIndependent,2,0
Insane,@hunterkea203,1,0
Bruh,@Ibra141,2,0
"Great idea! 😂 And he will take 2 MILION people from Gaza to the US, right?😂😂😂",@ozoracka,1,0
What a disgusting 🤢 president!,@SadihaakterSadiha,5,0
😂😂😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,@Toxic_Lanur64,4,0
"Fascinating how Trump`s instinct in the speech is to say ""this could be so *bad*"" Tells you everything you need to know how he usually likes to talk",@m_hut,3,0
Great vision! Let's the dream come true!,@eugeneeugene3313,5,0
"Trump’s statement reflects his typical approach of attaching his name to things for attention, but in this case, it’s especially tone-deaf. The people of Gaza don’t need branding—they need humanitarian relief, reconstruction, and an end to the suffering they’ve endured for decades.",@Freepalestine__346,1,0
All amaricans should be adhamed of this vedio,@fathima8242,2,0
You will save no one☠️💀,@ANobody-k4t,1,0
Anyone see the trans woman belly-dancers?,@StephenBogan-r4s,3,0
"Sometimes in life you have to decide, especially in matters of life and death. So I´d like Trump Gaza.",@adgdjd3,1,0
This is actually the worst thing I have ever seen,@byrontheusurper6505,7,0
Is anybody seeing the bearded ladies 😂😂😂😂😂😂😂😂😂😂😂😂,@Itbebobby,1,0
I need this song :D,@user-tl9ng6nv5i,1,0
Solo de escucharlo se me revuelve el estomago,@alejandroaca931,1,0
We are living in the craziest timeline rn,@thespeedingmushroom7892,0,0
No Gaza is sufring😢,@Humzah356,2,0
Dis his Dad leave Gagza in inheritence to him?That's theiving private property and that also hunderds of miles away!,@drteaches,2,0
GAZA LAGO LETS GOOO,@Rexident97,2,0
You all are cooked. Sincerely,@urbaebea,1,0
"This man was voted by the majotity of people ib the US, right? Okeee..... lets talk about alternatives to demoraty.",@christianburrig9485,1,0
American citizens voted for him 😂😂 Unbelieveable,@sasasasa9568,6,0
Idolatry at it's most disgusting...,@kingscroach,2,0
😂😂😂😂😂w trumpgaza,@nicobrucoromanazi4394,2,0
The peak of american politics indeed ☕,@10-K09,1,0
"""the boys"" 😭🙏",@n1nja_money,2,0
"Will he likewise build a ""Riviera"" in Greenland?",@doug5280,2,0
"Imagine the federal government knocks on your door some say and says you and your family are being relocated to South America because your home will be converted into a tourist hub? How would you feel? Think about that for a minute… If it can happen overseas it can happen in USA, which is Trump’s operating center and where he has the most supporters.",@Zorah-jk2gs,0,0
It's in your dream both goat😂😂😂,@meherullarahman5087,1,0
⛸️⛸️⛸️,@meherullarahman5087,1,0
Happy now with your fires!? I hope so.,@Aser7_1,3,0
Trump will make Netanyahu and Musk be his downfall,@Lykan443,2,0
Wow really catchy,@ajaxwolcav8331,1,0
Funny how in the video there are bearded women dancing. Ironic that trump didn’t see it,@aidankreltszheim3599,2,2
How often did I have to idiotically day to end in the plane of existence where this is reality?,@fragdoch-nicht1290,3,1
awesome,@gurufabbes1,1,0
"In my newsreel, from the BBC website 4th March 2025""A $53bn (£41.4 billion) reconstruction plan to rival President Donald Trump's idea for the US to ""take over Gaza"" and move out more than two million Palestinians has been approved by Arab leaders at an emergency summit in the Egyptian capital Cairo.""Egypt had produced a detailed blueprint, with a 91-page glossy document including images of leafy neighbourhoods and grand public buildings, to counter a US scheme labelled as a ""Middle East Riviera"" which shocked the Arab world and beyond.That's the art of the deal haha! A beautiful deal, an incredible deal.",@SHIREDRIFT,1,0
This is the best joke that even he fell for! 😂😂😂😂😂,@Oomzilla,1,0
He just stopped himself from saying valuable and changed it to magnificent 😂,@johnwhite3269,2,0
I love my president!!😂,@huckstir,0,0
Der alte Tattergreis ist gefährlich,@joergschaut,2,0
sick,@Kirk2Data,4,0
talking about braindead politics,@TheNcbm,2,0
What a great video.,@carlosmagno111111111,0,0
Here for the song,@Poliswagins,0,0
This seems pretty soulless,@Danny_Delano,4,1
"😰""Peter, don't! They say if you watch that video, you'll DIE!""Peter Griffin: ""Ahh that's a lot of baloni!""The video:🎶""Donald Trump is to set you free! Donald Trump number #1!""🎶Also Peter:☠️☠️",@davidebachi4275,0,0
A spectacle of disgrace at its finest,@JM-sv5wg,8,0
Why is everyone complaining? It looks really great if you ask me. Compared to what it is now...,@igorknapp2460,2,0
Where's the respect for all the people who were murdered in Gaza without mercy? That guy will definitely be the down fall of everything.,@razantarek9974,5,0
Souper vidéo 💯⭐⭐⭐⭐,@zahrazaho694,2,0
Disgusting. Beyond all limits. No words.,@naialarranaga2694,5,0
Back to future 2: when Biff Tannen found the Almanach and George McFly is dead.,@villapierre,0,0
This is a direct response to palestinian children celebrating the coffins of Bibas family,@mrpacman1185,0,0
WTH..........,@onemartinway,2,0
"0:24 above the Trump Gaza sign, you see what's obviously a baphommet or goat head. On the side of each pillar you see what looks like an owl, a common symbol that means wisdom; the baphommet is in a dome that's an eye like the all-seeing eye and on the right pillar you see the number ""9"" a common symbol in the occult.",@JH-6g5,3,1
Arabs for Trump voted for this.,@autumnjade815,6,2
"Insane and evil.  I don't even know what to say anymore...This seems like it would be an Onion parody, but it's real.  I've been saying that a lot recently...",@LPW638,11,2
He lost it,@kellybemis7268,3,0
Will the lions of Gaza allow you to do that?,@Fdycg-q2o,0,0
"What the F is these people smoking? Reminds me of those old DirecTV ads. “Opulence, I has it.” lol 😂",@Nillbor9641,0,0
It was posted on truth social by his account,@goreegirl,0,0
People are defending this? Please tell me its Ragebait comments and you people aren’t serious,@Alienhomid200,5,6
Daniel 11:38,@PrezC,2,1
Trampy started war in the beginning so he could build condos there,@22jayla,2,0
Sick bass,@22jayla,0,0
After disrespecting Zelensky he is diverting attention of the people by disrespecting the middle east like someone who doesn't care anyone. 😅,@Buna5689,3,1
{لَا يَغُرَّنَّكَ تَقَلُّبُ الَّذِينَ كَفَرُوا فِي الْبِلَادِ} صدق اللّه العلي العظيم.,@highgain6770,3,0
"This could be something that could be so bad, this could be so magnificent... "" What?",@missymichilli8860,2,0
I Thought our President in Kenya was nuts... THIS one of the USA is utterly BONKERS .,@rosesimani,8,0
🇵🇸🦶🦶🇺🇲🇮🇱,@madaraff5713,1,0
The dancing girls have beards. Thrown under the bus by AI.,@TropicalLatitude,3,0
So Palestine just loses their territory? It's as simple as that?,@goncalosilva1260,0,0
What the heck with the bearded trans girl dancing hahaha,@ulisesramirezsalinas,0,0
